source_site,product_url,image_url,brand,variant_id,product_id,price_egp,original_price_egp,in_stock,is_best_seller,is_new_arrival,seller_name,category_l3,model,storage_gb,ram_gb,network,sim_config,color
btech,https://btech.com/en/p/a3bb3264-b5e1-45cc-93ab-ac71e7596bd3,d/7/b/2/d7b204cc64e29e9a2bdcef772fa5589739e76de5_71AdvhH42vL._AC_SL1500_.jpeg,Samsung,a3bb3264-b5e1-45cc-93ab-ac71e7596bd3,d8396342-0ea6-4ddc-a7b2-c4eecba327ed,29500.0,29500.0,True,False,False,VOOC,Smart Phones,Samsung Galaxy A57,256.0,12.0,5G,Dual-SIM,Violet
btech,https://btech.com/en/p/88628917-e6e5-465a-aa3d-3df636f3a0eb,3/7/7/7/37779c3b6dc21b946f16ba2e5b8415cf1c340d22_iPhone_17_Pro_Deep_Blue_PDP_Image_Position_1__en_ME.jpg,Apple,88628917-e6e5-465a-aa3d-3df636f3a0eb,39196841-4d61-4ecd-be34-dfdd4a3babab,95777.0,95777.0,True,False,False,drmobile,Smart Phones,Apple iPhone 17 Pro,256.0,12.0,,eSIM,Deep Blue
btech,https://btech.com/en/p/7ac5f5bb-5aa3-427f-88ca-c17199f71933,6/3/d/2/63d25c8f3cffd252ebf75bd9d182f315c26c89bd_oppo_reno_15_15PRO.jpg,Oppo,7ac5f5bb-5aa3-427f-88ca-c17199f71933,18f6e689-2f3f-4a2a-a5d3-d3f524ffa0a3,38799.0,38799.0,True,False,False,Mobile plus 1,Smart Phones,Oppo Reno 15 Pro,512.0,12.0,5G,Dual-SIM,Aurora Blue
btech,https://btech.com/en/p/motorola-moto-g85-256gb-12gb-5g-dual-sim-olive-green,7/9/1/2/791241589949673028945f0c9849ff1814761932_9b044515846da77e166efbcdb60c969397cdc708da583edbb739caeac066199b.png,Motorola,22fd5e54-cf7f-483a-87d3-d591b686d2d9,fb33cb06-b3a7-4a12-9e11-779f8896a421,12999.0,12999.0,True,False,False,Elhashim Store,Smart Phones,Motorola Moto G85,256.0,12.0,5G,Dual-SIM,Olive Green
btech,https://btech.com/en/p/3277db08-0e6a-41f6-bc28-cbb7e34b35fa,2/0/9/f/209f08e441af1a807de06ced8ce946f2b02f4058_3de31dffe4888aadd28e3434b32fa96e78835a46e53e19bbf86eea8c427e801e.jpeg,Realme,3277db08-0e6a-41f6-bc28-cbb7e34b35fa,0a85570c-c042-46e6-bd83-1c71b67adfb2,9533.0,9533.0,True,False,False,drmobile,Smart Phones,Realme C71,128.0,6.0,4G,Dual-SIM,Forest Owl
btech,https://btech.com/en/p/realme-c75x-128gb-6gb-ram-4g-lte-dual-sim-coral-pink,b/d/f/3/bdf366e64d7fe6ca0c8bcd1a1bdb4d463e3bd886_cb025c85327a9326e6bc567834888d61900c1829925e5a6a39a91db21d472209.jpeg,Realme,4c094bcc-a896-4447-896c-b78db99e9ea1,4daba5a7-5679-4c3f-853c-814cd83df8ef,8794.0,9094.0,True,False,False,B.TECH,Smart Phones,Realme C75x,128.0,6.0,4G,Dual-SIM,Coral Pink
btech,https://btech.com/en/p/7d3bbc49-1f36-4966-8bd0-c34b1d7486d1,b/1/2/7/b127774617dc8ca341ec90b3b001fd925bc1f19f_25.jpg,Realme,7d3bbc49-1f36-4966-8bd0-c34b1d7486d1,37a8834d-5ded-47bb-abc6-2fbf4a36b031,12510.0,12510.0,True,False,False,Elhashim Store,Smart Phones,Realme C85,256.0,8.0,4G,Dual-SIM,Blue
btech,https://btech.com/en/p/4495f459-fde8-4b12-881e-e346309d8d0e,5/7/4/a/574a965509eee7227766f9851c6d9d81655fd242_xiaomi_redmi_note_15_5g_8gb_256gb_6_77_amoled_5520mah_negro.jpg,Xiaomi,4495f459-fde8-4b12-881e-e346309d8d0e,d042d46d-4356-4be6-9f2c-c1131673cf10,15600.0,15600.0,True,False,False,VOOC,Smart Phones,Xiaomi Redmi Note 15,256.0,8.0,5G,Dual-SIM,Black
btech,https://btech.com/en/p/samsung-galaxy-a16-128gb-4gb-4g-lte-dual-sim-black-local,c/d/a/1/cda17232f31d83d7ab684abf1f7c5b59b13abb1a_996e7402bb88dc45163c1f0b668b7f655385bc4536ac4174dc70a14116280b59.jpeg,Samsung,9c6ffb8b-9e4c-4b54-95fb-a330deaf8559,94243c97-2360-48d6-848d-14f52d1f904c,7777.0,7777.0,True,False,False,B.TECH,Smart Phones,Samsung Galaxy A16,128.0,4.0,4G LTE,Dual-SIM,Black
btech,https://btech.com/en/p/7e80f444-f85c-40ce-9b3f-7cd541a06a24,f/d/a/6/fda6eeaa4da77ce70c2a56ca694b5fec7116f3c7_Oppo_A6_Pro_Dual_Sim_256GB8GB_Ram5G_6178_1.jpg,Oppo,7e80f444-f85c-40ce-9b3f-7cd541a06a24,359092ae-fded-43be-8c15-d4378670a286,16299.0,16299.0,True,False,False,Elhashim Store,Smart Phones,Oppo A6 Pro,256.0,8.0,4G,Dual-SIM,Red
